ClassPriors	47,33,0.5875,0.4125	ham	0.5875	
ect	378,0,0.023473306082001735,5.546004104043037e-05	ham	0.023473306082001735	
and	258,277,0.01604112473677691,0.015417891409239643	ham	0.01604112473677691	
hou	203,0,0.0126347082868822,5.546004104043037e-05	ham	0.0126347082868822	
in	160,157,0.009971509971509971,0.008762686484387999	ham	0.009971509971509971	
for	148,153,0.00922829183698749,0.008540846320226277	ham	0.00922829183698749	
on	122,95,0.007617985878855444,0.005324163939881316	ham	0.007617985878855444	
enron	116,0,0.007246376811594203,5.546004104043037e-05	ham	0.007246376811594203	
i	113,106,0.007060572277963582,0.00593422439132605	ham	0.007060572277963582	
will	113,69,0.007060572277963582,0.003882202872830126	ham	0.007060572277963582	
this	99,90,0.00619348445435402,0.005046863734679163	ham	0.00619348445435402	
be	90,84,0.005636070853462158,0.004714103488436582	ham	0.005636070853462158	
is	86,86,0.005388331475287997,0.004825023570517442	ham	0.005388331475287997	
with	72,76,0.004521243651678435,0.004270423160113139	ham	0.004521243651678435	
we	66,67,0.004149634584417193,0.003771282790749265	ham	0.004149634584417193	
am	58,14,0.0036541558280688714,0.0008319006156064556	ham	0.0036541558280688714	
as	54,39,0.0034064164498947107,0.0022184016416172147	ham	0.0034064164498947107	
by	52,57,0.0032825467608076303,0.0032166823803449615	ham	0.0032825467608076303	
kevin	47,0,0.0029728725380899295,5.546004104043037e-05	ham	0.0029728725380899295	
please	41,20,0.002601263470828688,0.0011646608618490378	ham	0.002601263470828688	
management	40,0,0.002539328626285148,5.546004104043037e-05	ham	0.002539328626285148	
moore	39,0,0.0024773937817416077,5.546004104043037e-05	ham	0.0024773937817416077	
new	39,19,0.0024773937817416077,0.0011092008208086074	ham	0.0024773937817416077	
cc	37,0,0.0023535240926545273,5.546004104043037e-05	ham	0.0023535240926545273	
energy	37,2,0.0023535240926545273,0.00016638012312129112	ham	0.0023535240926545273	
gas	36,0,0.002291589248110987,5.546004104043037e-05	ham	0.002291589248110987	
subject	36,10,0.002291589248110987,0.0006100604514447341	ham	0.002291589248110987	
need	35,14,0.002229654403567447,0.0008319006156064556	ham	0.002229654403567447	
some	35,25,0.002229654403567447,0.0014419610670511895	ham	0.002229654403567447	
global	34,1,0.002167719559023907,0.00011092008208086075	ham	0.002167719559023907	
thanks	33,0,0.0021057847144803667,5.546004104043037e-05	ham	0.0021057847144803667	
would	32,22,0.0020438498699368265,0.0012755809439298986	ham	0.0020438498699368265	
any	32,25,0.0020438498699368265,0.0014419610670511895	ham	0.0020438498699368265	
pm	31,3,0.0019819150253932863,0.0002218401641617215	ham	0.0019819150253932863	
risk	31,3,0.0019819150253932863,0.0002218401641617215	ham	0.0019819150253932863	
operations	29,0,0.0018580453363062058,5.546004104043037e-05	ham	0.0018580453363062058	
corp	28,2,0.0017961104917626656,0.00016638012312129112	ham	0.0017961104917626656	
forwarded	27,0,0.0017341756472191254,5.546004104043037e-05	ham	0.0017341756472191254	
me	27,23,0.0017341756472191254,0.001331040984970329	ham	0.0017341756472191254	
trading	26,0,0.0016722408026755853,5.546004104043037e-05	ham	0.0016722408026755853	
has	25,24,0.001610305958132045,0.0013865010260107594	ham	0.001610305958132045	
been	25,8,0.001610305958132045,0.0004991403693638733	ham	0.001610305958132045	
also	24,21,0.001548371113588505,0.0012201209028894682	ham	0.001548371113588505	
g	23,6,0.0014864362690449647,0.0003882202872830126	ham	0.0014864362690449647	
sally	23,0,0.0014864362690449647,5.546004104043037e-05	ham	0.0014864362690449647	
re	23,9,0.0014864362690449647,0.0005546004104043037	ham	0.0014864362690449647	
printer	23,0,0.0014864362690449647,5.546004104043037e-05	ham	0.0014864362690449647	
these	22,18,0.0014245014245014246,0.001053740779768177	ham	0.0014245014245014246	
j	21,1,0.0013625665799578844,0.00011092008208086075	ham	0.0013625665799578844	
business	20,20,0.001300631735414344,0.0011646608618490378	ham	0.001300631735414344	
christmas	20,0,0.001300631735414344,5.546004104043037e-05	ham	0.001300631735414344	
up	20,19,0.001300631735414344,0.0011092008208086074	ham	0.001300631735414344	
work	20,6,0.001300631735414344,0.0003882202872830126	ham	0.001300631735414344	
know	19,18,0.0012386968908708038,0.001053740779768177	ham	0.0012386968908708038	
david	19,0,0.0012386968908708038,5.546004104043037e-05	ham	0.0012386968908708038	
color	18,1,0.0011767620463272637,0.00011092008208086075	ham	0.0011767620463272637	
issues	18,1,0.0011767620463272637,0.00011092008208086075	ham	0.0011767620463272637	
group	18,1,0.0011767620463272637,0.00011092008208086075	ham	0.0011767620463272637	
d	18,11,0.0011767620463272637,0.0006655204924851645	ham	0.0011767620463272637	
shirley	18,0,0.0011767620463272637,5.546004104043037e-05	ham	0.0011767620463272637	
rate	18,5,0.0011767620463272637,0.00033276024624258224	ham	0.0011767620463272637	
questions	17,15,0.0011148272017837235,0.000887360656646886	ham	0.0011148272017837235	
meeting	17,0,0.0011148272017837235,5.546004104043037e-05	ham	0.0011148272017837235	
sap	17,0,0.0011148272017837235,5.546004104043037e-05	ham	0.0011148272017837235	
power	17,1,0.0011148272017837235,0.00011092008208086075	ham	0.0011148272017837235	
hours	17,9,0.0011148272017837235,0.0005546004104043037	ham	0.0011148272017837235	
john	16,0,0.0010528923572401833,5.546004104043037e-05	ham	0.0010528923572401833	
commercial	16,2,0.0010528923572401833,0.00016638012312129112	ham	0.0010528923572401833	
eb	16,0,0.0010528923572401833,5.546004104043037e-05	ham	0.0010528923572401833	
account	16,13,0.0010528923572401833,0.0007764405745660252	ham	0.0010528923572401833	
team	16,0,0.0010528923572401833,5.546004104043037e-05	ham	0.0010528923572401833	
let	16,12,0.0010528923572401833,0.0007209805335255948	ham	0.0010528923572401833	
state	16,4,0.0010528923572401833,0.00027730020520215184	ham	0.0010528923572401833	
vince	15,0,0.0009909575126966432,5.546004104043037e-05	ham	0.0009909575126966432	
resources	15,6,0.0009909575126966432,0.0003882202872830126	ham	0.0009909575126966432	
x	15,2,0.0009909575126966432,0.00016638012312129112	ham	0.0009909575126966432	
contact	15,9,0.0009909575126966432,0.0005546004104043037	ham	0.0009909575126966432	
howard	14,0,0.0009290226681531029,5.546004104043037e-05	ham	0.0009290226681531029	
each	14,8,0.0009290226681531029,0.0004991403693638733	ham	0.0009290226681531029	
experience	14,2,0.0009290226681531029,0.00016638012312129112	ham	0.0009290226681531029	
entex	14,0,0.0009290226681531029,5.546004104043037e-05	ham	0.0009290226681531029	
hr	14,0,0.0009290226681531029,5.546004104043037e-05	ham	0.0009290226681531029	
